; This file describes the collections of curated position-specific
; scoring matrices (PSSM) used by the tools compare-matrices and
; peak-motifs, in order to compare discovered motifs with those bound
; by known transcription factors.
;
; Column description
;	1	DB_NAME	Database name
;	2	FORMAT	Matrix format (see convert-matrices for supported formats)
;	3	FILE    Matrix file (path relative to the motif DB directory ${RSAT}/data/motif_databases/)
;	4	DESCR	Human-readable description of the database (source, data type, ...)
;	5	VERSION	Version (date) of the import
;	6	URL	URL from the file from which matrices were obtained
;	7	LABEL	label to group in the web matrix selector
;	8	DATABASE	source database
#COLLECTION	FORMAT	FILE	DESCR	VERSION	URL	CATEGORY	DATABASE
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Fungi motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yeastract	tf	Yeastract/yeastract_20150629.tf	Yeastract s_cerevisiae	20130918	http://www.yeastract.com/	Fungi	Yeastract
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Insect motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
DrosophilaTFs	tf	DrosophilaTFs/DrosophilaTFs_2015-11-06.tf	DrosophilaTFs	2015-11	http://bergmanlab.genetics.uga.edu/?page_id=274	Non-vertebrate Metazoa	DrosophilaTFs
FlyFactorSurvey	tf	FlyFactorSurvey/PWM_FlyFactorSurvey_2016.tf	Database of Drosophila DNA-binding specificities (FlyFactorSurvey)	2016_06	http://mccb.umassmed.edu/ffs/	Non-vertebrate Metazoa	FlyFactorSurvey
DMMPMM_drosophila	tf	DMMPMM_drosophila/dmmpmm_PCM.tf	Drosophila DMMPMM	2010_11	http://autosome.ru/DMMPMM/	Non-vertebrate Metazoa	DMMPMM_drosophila
IDMMPMM_drosophila	tf	DMMPMM_drosophila/idmmpmm_PCM.tf	Drosophila IDMMPMM	2010_11	http://autosome.ru/iDMMPMM/	Non-vertebrate Metazoa	DMMPMM_drosophila
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Ascidian motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
Aniseed	tf	Aniseed/Ciona_robusta_SELEX_motifs.tf Aniseed (Ciona robusta motifs detected by SELEX)	2020-08	https://www.aniseed.cnrs.fr/aniseed/download/download_data	Non-vertebrate Metazoa
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Plants motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArabidopsisPBM	tf	ArabidopsisPBM/ArabidopsisPBM_2015-11-06.tf	ArabidopsisPBM (A thaliana)	2015-11	http://www.pnas.org/content/111/6/2367.abstract	Plants	ArabidopsisPBM
Athamap	tf	Athamap/Athamap_2015-11-06.tf	Athamap (A thaliana)	2015-11	http://www.athamap.de/	Plants	Athamap
cistrome	tf	Cistrome/Cistrome_Athaliana.tf	Cistrome (A thaliana motifs detected by DAP-seq)	2016-06	http://neomorph.salk.edu/dev/pages/shhuang/dap_web/pages/index.php	Plants	cistrome
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Prokaryotes motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
